crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,Id
3.1636,0.0,18.1,0,0.655,5.7589999999999995,48.2,3.0665,24,666.0,20.2,334.4,14.13,0
0.59005,0.0,21.89,0,0.624,6.372000000000001,97.9,2.3274,4,437.0,21.2,385.76,11.12,1
7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666.0,20.2,272.21,16.23,2
0.14231,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432.0,17.8,388.74,10.45,3
0.01096,55.0,2.25,0,0.389,6.452999999999999,31.9,7.3073,1,300.0,15.3,394.72,8.23,4
0.13554000000000002,12.5,6.07,0,0.409,5.593999999999999,36.8,6.497999999999999,4,345.0,18.9,396.9,13.09,5
0.75026,0.0,8.14,0,0.5379999999999999,5.9239999999999995,94.1,4.3996,4,307.0,21.0,394.33,16.3,6
0.05644,40.0,6.41,1,0.447,6.757999999999999,32.9,4.0776,4,254.0,17.6,396.9,3.53,7
0.0686,0.0,2.89,0,0.445,7.416,62.5,3.4952,2,276.0,18.0,396.9,6.19,8
0.03237,0.0,2.18,0,0.45799999999999996,6.997999999999999,45.8,6.0622,3,222.0,18.7,394.63,2.94,9
0.10612,30.0,4.93,0,0.428,6.095,65.1,6.3361,6,300.0,16.6,394.62,12.4,10
11.1604,0.0,18.1,0,0.74,6.629,94.6,2.1247,24,666.0,20.2,109.85,23.27,11
0.95577,0.0,8.14,0,0.5379999999999999,6.047000000000001,88.8,4.4534,4,307.0,21.0,306.38,17.28,12
11.0874,0.0,18.1,0,0.718,6.4110000000000005,100.0,1.8589,24,666.0,20.2,318.75,15.02,13
16.8118,0.0,18.1,0,0.7,5.277,98.1,1.4261,24,666.0,20.2,396.9,30.81,14
0.033589999999999995,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252.0,18.3,395.62,1.98,15
4.541919999999998,0.0,18.1,0,0.77,6.398,88.0,2.5182,24,666.0,20.2,374.56,7.79,16
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311.0,15.2,386.71,17.1,17
0.02763,75.0,2.95,0,0.428,6.595,21.8,5.4011,3,252.0,18.3,395.63,4.32,18
0.03466,35.0,6.06,0,0.4379,6.031000000000001,23.3,6.6407,1,304.0,16.9,362.25,7.83,19
0.08265,0.0,13.92,0,0.43700000000000006,6.127000000000001,18.4,5.5027,4,289.0,16.0,396.9,8.58,20
8.05579,0.0,18.1,0,0.584,5.4270000000000005,95.4,2.4298,24,666.0,20.2,352.58,18.14,21
18.0846,0.0,18.1,0,0.679,6.434,100.0,1.8347,24,666.0,20.2,27.25,29.05,22
1.41385,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403.0,14.7,321.02,15.12,23
51.1358,0.0,18.1,0,0.597,5.757000000000001,100.0,1.413,24,666.0,20.2,2.6,10.11,24
0.04462,25.0,4.86,0,0.426,6.619,70.4,5.4007,4,281.0,19.0,395.63,7.22,25
4.55587,0.0,18.1,0,0.718,3.5610000000000004,87.9,1.6132,24,666.0,20.2,354.7,7.12,26
2.3004,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403.0,14.7,297.09,11.1,27
0.23912,0.0,9.69,0,0.585,6.019,65.3,2.4091,6,391.0,19.2,396.9,12.92,28
0.21977,0.0,6.91,0,0.44799999999999995,5.602,62.0,6.0877,3,233.0,17.9,396.9,16.2,29
3.8497,0.0,18.1,1,0.77,6.395,91.0,2.5052,24,666.0,20.2,391.34,13.27,30
0.07165,0.0,25.65,0,0.581,6.004,84.1,2.1974,2,188.0,19.1,377.67,14.27,31
1.83377,0.0,19.58,1,0.605,7.8020000000000005,98.2,2.0407,5,403.0,14.7,389.61,1.92,32
2.24236,0.0,19.58,0,0.605,5.854,91.8,2.4219999999999997,5,403.0,14.7,395.11,11.64,33
0.33147,0.0,6.2,0,0.507,8.247,70.4,3.6519,8,307.0,17.4,378.95,3.95,34
0.12802,0.0,8.56,0,0.52,6.474,97.1,2.4329,5,384.0,20.9,395.24,12.27,35
0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265.0,15.6,393.37,5.03,36
25.9406,0.0,18.1,0,0.679,5.303999999999999,89.1,1.6475,24,666.0,20.2,127.36,26.64,37
9.2323,0.0,18.1,0,0.631,6.216,100.0,1.1691,24,666.0,20.2,366.15,9.53,38
0.18836,0.0,6.91,0,0.44799999999999995,5.7860000000000005,33.3,5.1004,3,233.0,17.9,396.9,14.15,39
0.10574,0.0,27.74,0,0.609,5.983,98.8,1.8681,4,711.0,20.1,390.11,18.07,40
0.67191,0.0,8.14,0,0.5379999999999999,5.813,90.3,4.6819999999999995,4,307.0,21.0,376.88,14.81,41
0.03551,25.0,4.86,0,0.426,6.167000000000001,46.7,5.4007,4,281.0,19.0,390.64,7.51,42
4.0974,0.0,19.58,0,0.871,5.468,100.0,1.4118,5,403.0,14.7,396.9,26.42,43
0.1396,0.0,8.56,0,0.52,6.167000000000001,90.0,2.421,5,384.0,20.9,392.69,12.33,44
0.19186,0.0,7.38,0,0.493,6.431,14.7,5.4159,5,287.0,19.6,393.68,5.08,45
0.05188,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247.0,18.5,395.99,12.86,46
0.04113,25.0,4.86,0,0.426,6.727,33.5,5.4007,4,281.0,19.0,396.9,5.29,47
0.05059,0.0,4.49,0,0.449,6.388999999999999,48.0,4.7794,3,247.0,18.5,396.9,9.62,48
11.5779,0.0,18.1,0,0.7,5.0360000000000005,97.0,1.77,24,666.0,20.2,396.9,25.68,49
3.67367,0.0,18.1,0,0.583,6.312,51.9,3.9917,24,666.0,20.2,388.62,10.58,50
0.25356,0.0,9.9,0,0.544,5.705,77.7,3.945,4,304.0,18.4,396.42,11.5,51
0.31533,0.0,6.2,0,0.504,8.266,78.3,2.8944,8,307.0,17.4,385.05,4.14,52
0.6147,0.0,6.2,0,0.507,6.617999999999999,80.8,3.2721,8,307.0,17.4,396.9,7.6,53
0.09299,0.0,25.65,0,0.581,5.961,92.9,2.0869,2,188.0,19.1,378.09,17.93,54
0.06076,0.0,11.93,0,0.573,6.976,91.0,2.1675,1,273.0,21.0,396.9,5.64,55
0.21409,22.0,5.86,0,0.431,6.438,8.9,7.3967,7,330.0,19.1,377.07,3.59,56
0.15098,0.0,10.01,0,0.547,6.021,82.6,2.7474,6,432.0,17.8,394.51,10.3,57
0.15936,0.0,6.91,0,0.44799999999999995,6.211,6.5,5.7209,3,233.0,17.9,394.46,7.44,58
0.06262999999999999,0.0,11.93,0,0.573,6.593,69.1,2.4786,1,273.0,21.0,391.99,9.67,59
0.03427,0.0,5.19,0,0.515,5.869,46.3,5.2311,5,224.0,20.2,396.9,9.8,60
0.01381,80.0,0.46,0,0.42200000000000004,7.875,32.0,5.6484,4,255.0,14.4,394.23,2.97,61
0.19802,0.0,10.59,0,0.489,6.182,42.4,3.9454,4,277.0,18.6,393.63,9.47,62
5.7081800000000005,0.0,18.1,0,0.532,6.75,74.9,3.3317,24,666.0,20.2,393.07,7.74,63
14.0507,0.0,18.1,0,0.597,6.657,100.0,1.5275,24,666.0,20.2,35.05,21.22,64
0.13262000000000002,0.0,8.56,0,0.52,5.851,96.7,2.1069,5,384.0,20.9,394.05,16.47,65
